Hour Ending,NCENT
1/30/2021 21:00:00,10775.446363
1/30/2021 22:00:00,10507.803551
1/30/2021 23:00:00,10153.586027
1/31/2021 0:00:00,9789.233989
1/31/2021 1:00:00,9488.597178
1/31/2021 2:00:00,9473.402262
1/31/2021 3:00:00,9563.985049
1/31/2021 4:00:00,9818.359049
1/31/2021 5:00:00,10154.301704
1/31/2021 6:00:00,10665.203691
1/31/2021 7:00:00,11362.848058
1/31/2021 8:00:00,12109.864548
1/31/2021 9:00:00,12672.45966
1/31/2021 10:00:00,13011.46268
1/31/2021 11:00:00,12966.224719
1/31/2021 12:00:00,12632.403374
1/31/2021 13:00:00,12224.107221
